"","AIT_USBKB","AIT_BUSCD","AIT_AITCD","AIT_GRPNO","AIT_MEISJ","AIT_SEISJ","AIT_MEISK","AIT_SEISK","AIT_ADRS1","AIT_ADRS2","AIT_ADRS3","AIT_ADRS4","AIT_ADRS5","AIT_YUBIN","AIT_TELNO","AIT_KENCD","AIT_YOSIN","AIT_GYSCD","AIT_TANCD","AIT_TANCH","AIT_SIMKB","AIT_KSBKB","AIT_KSHKB","AIT_SEQKB","AIT_BOBKB","AIT_TORKB","AIT_SQHKB","AIT_ZHSKB","AIT_SEIBO","AIT_INDXJ","AIT_INDXK","AIT_TSYMD","AIT_TEYMD","AIT_TOROK","AIT_MENTE","AIT_SHACD","AIT_BUMON","AIT_TANHO","AIT_SAGRP","AIT_GYSC1","AIT_TESSY","AIT_TESUM","AIT_TESKB","AIT_TESKS","AIT_TESKH","AIT_TESSR","AIT_TESKJ","AIT_CHUKB","AIT_TNLNK","AIT_TNYMD","AIT_TNMNT","AIT_JJOKY","AIT_HJOKY","AIT_GKIBO","AIT_GSTDY","AIT_GONER","AIT_GFUHY","AIT_GSRAI","AIT_GCMNT","AIT_BIKOU","AIT_GMEIS","AIT_GSEIS","AIT_GMEIF","AIT_GSEIF","AIT_ADRG1","AIT_ADRG2","AIT_ADRG3","AIT_ADRG4","AIT_ADRG5","AIT_YUBNG","AIT_TELNG","AIT_FAXNO","AIT_KENCG","AIT_GYOSN","AIT_GYGCD","AIT_GYSMA","AIT_GYSUB","AIT_HINM1","AIT_HINM2","AIT_HINM3","AIT_HINM4","AIT_HINM5","AIT_SGYMD","AIT_SEYMD","AIT_SIHON","AIT_NINZU","AIT_JOUJO","AIT_KEIFG","AIT_KYKKB","AIT_HOSFG","AIT_HOSNM","AIT_TNPKB","AIT_TORKG","AIT_KEIRE","AIT_BIKOG","AIT_JIGSU","AIT_JIGNM","AIT_INDXG","AIT_INDFG","AIT_NAMED","AIT_YOMID","AIT_YAKUD","AIT_ADRD1","AIT_ADRD2","AIT_ADRD3","AIT_ADRD4","AIT_ADRD5","AIT_YUBND","AIT_TELND","AIT_KENC2","AIT_SENEN","AIT_GAKOD","AIT_SOTSU","AIT_DNYMD","AIT_BIKOD","AIT_GTORO","AIT_GMENT","AIT_GSHAC","AIT_DKENC","AIT_KGYCD","AIT_KEIYM","AIT_KEIBK","AIT_HOSYM","AIT_HOSNA","AIT_HOSBK","AIT_TNPSY","AIT_TNPYM","AIT_TNPBK","AIT_OBEUM","AIT_OBEYM","AIT_KESAN","AIT_TOKUM","AIT_TOKYM","AIT_TOKBK","AIT_YOSBK","AIT_GYGC1","AIT_GYGS1","AIT_GYGS2","AIT_URLAD","AIT_SINYO","AIT_COMNT","AIT_KBNK1","AIT_KBNK2","AIT_KBNK3","AIT_KBNK4","AIT_KBNK5","AIT_KYAK1","AIT_KYAK2","AIT_KYAK3","AIT_KYAK4","AIT_KYAK5","AIT_KIRE1","AIT_KIRE2","AIT_KIRE3","AIT_KIRE4","AIT_KIRE5","AIT_KURI1","AIT_KURI2","AIT_KURI3","AIT_KURI4","AIT_KURI5","AIT_KKAB1","AIT_KKAB2","AIT_KKAB3","AIT_KKAB4","AIT_KKAB5","AIT_NBUSCD","AIT_KAMEINO","AIT_TORKEINO","AIT_KEINO","AIT_SYOCD"
"0","U","0281","4001","021620","株式会社  足立商店","株式会社  足立商店","KK ｱﾀﾞﾁ ｼﾖｳﾃﾝ","KK ｱﾀﾞﾁ ｼﾖｳﾃﾝ","東京都","中央区","","築地５丁目２番地１号","","1040045","5431551","13","300","96","08","00","99","10199","2000","5","0","00","4","3","1","株式会社  足立商店","ｱﾀﾞﾁｼﾖｳﾃﾝ","1982-07-02 00:00:00","2019-06-11 00:00:00","1983-09-01 00:00:00","2019-06-07 16:48:00","21339","021620","  ","      ","19","00","0","","","","","0","1","     ","","","00","00","     ","     ","     ","     ","     ","","","㈱足立商店","株式会社足立商店","ｶ)ｱﾀﾞﾁｼｮｳﾃﾝ","ｶ)ｱﾀﾞﾁｼｮｳﾃﾝ","東京都","中央区","","築地５丁目２番地１号","","1040045","","","13","300","00","","","","","","","","","","0","0","","0","0","0","","0","00","000000","","0","","足立商店","ｱﾀﾞﾁｼｮｳﾃﾝ","","","","","","","","","0000000","","00","","","","","","1998-11-27 00:00:00","2019-06-07 16:04:00","21337","00","000000","","","","","","","","","0","","12","0","","","","00","00","00",""," ","","","","","","","","","","","","","","","","","","","","","","","","","","","    ","        ","   ","                ","       "
"1","U","0281","4002","      ","株式会社  麻  生","株式会社  麻  生","ｱｿｳ","KK ｱｿｳ","東京都","新宿区","","歌舞伎町２１","","1600021","2005824","13","0","00","02","00","00","38888","1000","0","1","74","4","3","1","株式会社  麻  生","ｱｿｳ","1984-05-28 00:00:00","1981-02-16 00:00:00","1984-05-28 00:00:00","1992-08-26 00:00:00","11659","      ","","","00","00","0","","","","","0","1","     ","","","00","00","     ","     ","     ","     ","     ","","","株式会社  麻  生","株式会社  麻  生","KK ｱｿｳ","KK ｱｿｳ","東京都","新宿区","","歌舞伎町２１","","1600000","","","13","0","00","","","","","","","","","","0","0","","0","0","0","","0","74","","","0","","株式会社  麻  生","ｱｿｳ","","","","","","","","","0000000","","00","","","","","","1984-05-28 00:00:00","1992-08-26 00:00:00","11659","00","000000","","","","","","","","","0","","0","0","","","","00","00","00",""," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","U","0281","4003","      ","青山満月","青山満月","ｱｵﾔﾏﾏﾝｹﾞﾂ","ｱｵﾔﾏﾏﾝｹﾞﾂ","東京都","港区","","北青山１－４－１","","1070061","03334017891","13","0","00","02","00","99","10110","2000","1","0","00","4","3","1","青山満月","ｱｵﾔﾏﾏﾝｹﾞﾂ","1999-09-28 00:00:00","2007-03-13 00:00:00","1999-09-28 00:00:00","2004-10-07 16:43:28","10000","      ","","","00","00","0","","","","","0","1","     ","","","00","00","     ","     ","     ","     ","     ","","","青山満月","青山満月","ｱｵﾔﾏﾏﾝｹﾞﾂ","ｱｵﾔﾏﾏﾝｹﾞﾂ","東京都","港区","","北青山１－４－１","","1070000","","","13","0","00","","","","","","","","","","0","0","","0","0","0","","0","00","","","0","","青山満月","ｱｵﾔﾏﾏﾝｹﾞﾂ","","","","","","","","","0000000","","00","","","","","","1999-09-28 00:00:00","1999-09-28 00:00:00","11659","00","000000","","","","","","","","","0","","0","0","","","","00","00","00",""," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","U","0281","4004","      ","魚とし","魚とし","ｳｵﾄｼ","ｳｵﾄｼ","東京都","港区","","白金９－４－１６","","1080072","034419440","13","0","00","02","00","99","10120","1000","0","0","00","4","3","1","魚とし","ｳｵﾄｼ","1999-09-28 00:00:00","2004-07-15 00:00:00","1999-09-28 00:00:00","1999-09-28 00:00:00","11659","      ","","","00","00","0","","","","","0","1","     ","","","00","00","     ","     ","     ","     ","     ","","","魚とし","魚とし","ｳｵﾄｼ","ｳｵﾄｼ","東京都","港区","","白金９－４－１６","","1070000","","","13","0","00","","","","","","","","","","0","0","","0","0","0","","0","00","","","0","","魚とし","ｳｵﾄｼ","","","","","","","","","0000000","","00","","","","","","1999-09-28 00:00:00","1999-09-28 00:00:00","11659","00","000000","","","","","","","","","0","","0","0","","","","00","00","00",""," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","U","0281","4005","024008","赤坂飯店","東昌企業株式会社","ｱｶｻｶ ﾊﾝﾃﾝ","ﾄｳｼﾖｳｷｷﾞﾖｳKK.","東京都","港区","","赤坂３ー１０ー１","","1070052","03-3583-8388","13","100","31","08","00","99","10199","2000","1","0","00","4","3","1","赤坂飯店","ｱｶｻｶﾊﾝﾃﾝ","1982-12-29 00:00:00","2020-03-27 00:00:00","1984-05-28 00:00:00","2018-11-21 10:24:20","60559","024008","  ","      ","06","00","0","","","","","0","1","     ","","","00","00","     ","     ","     ","     ","     ","","","東昌企業㈱","東昌企業株式会社","ﾄｳｼｮｳｷｷﾞｮｳ(ｶ","ﾄｳｼｮｳｷｷﾞｮｳ(ｶ","東京都","港区","","赤坂３ー１０ー１","","1070052","03-3583-8388","03-3583-8389","13","100","00","","","","","","","","","","10","0","","0","0","0","","0","00","000000","","0","","東昌企業","ﾄｳｼｮｳｷｷﾞｮｳ","朱飛","ﾌｨｰ･ﾁｭｰ","","東京都","港区","","赤坂３－１０－１","","1070052","03-3583-8388","00","","","","","","1984-05-28 00:00:00","2017-08-18 14:32:17","30660","13","000000","","","","","","","","","0","","0","0","","","","00","00","00",""," ","","","","","","","","","","","","","","","","","","","","","","","","","","","    ","        ","   ","                ","       "
"5","U","0281","4006","990157","東邦物産株式会社","東邦物産株式会社","ﾄｳﾎｳﾌﾞﾂｻﾝKK","ﾄｳﾎｳﾌﾞﾂｻﾝKK","東京都","港区","","芝公園２－４－１秀和芝パークビルＡ館８Ｆ","","1050011","034385744","13","0","00","02","00","99","10199","2000","0","0","00","4","3","1","東邦物産株式会社","ﾄｳﾎｳﾌﾞﾂｻﾝ","1999-10-12 00:00:00","2009-02-12 00:00:00","1999-10-13 00:00:00","2004-10-07 00:00:00","10000","021577","  ","      ","00","00","0","","","","","0","1","     ","","","00","00","     ","     ","     ","     ","     ","","","東邦物産㈱","東邦物産株式会社","ﾄｳﾎｳﾌﾞｯｻﾝ(ｶ","ﾄｳﾎｳﾌﾞｯｻﾝ(ｶ","東京都","港区","","芝公園2-4-1　芝ﾊﾟｰｸﾋﾞﾙＡ館8F","","1058547","03-3438-5711","03-3438-5740","13","2005","85","","","","","","","","","","400","0","","0"," ","0","","0","00","000000","","0","","東邦物産","ﾄｳﾎｳﾌﾞｯｻﾝ","中西　哲","ﾅｶﾆｼ ｻﾄｼ","代表取締役社長","","","","","","       ","","  ","","","","","2019.7変更、前任　畑谷秀樹","1998-06-30 00:00:00","2019-12-09 14:58:51","31010","  ","000000","","","","","","","","","1","2014-05-09 00:00:00","3","0","","東日本","","18","00","00",""," ","杉本政司","","","","","","","","","","","","","","","","","","","","","","","","","","    ","        ","   ","                ","       "
"6","U","0281","4007","020526","中島水産  株式会社  業務課","中島水産  株式会社  業務課","ﾅｶｼﾞﾏｽｲｻﾝ KK ｷﾞﾖｳﾑｶ","ﾅｶｼﾞﾏｽｲｻﾝ KK ｷﾞﾖｳﾑｶ","東京都","中央区","","築地４－６－５","","1040045","035456281","13","200","78","08","00","00","20050","2000","0","0","00","4","3","1","中島水産  株式会社  業務課","ﾅｶｼﾞﾏｽｲｻﾝｷﾞﾖｳﾑｶ","2006-03-18 00:00:00","2017-09-26 00:00:00","2003-02-18 18:22:08","2018-11-21 10:24:39","60559","020526","  ","      ","16","00","0","","","","","0","1","     ","","","00","00","     ","     ","     ","     ","     ","","","中島水産㈱　Ｃ","中島水産株式会社　Ｃ","ﾅｶｼﾞﾏｽｲｻﾝ(ｶ C","ﾅｶｼﾞﾏｽｲｻﾝ(ｶ C","東京都","中央区築地","","6-19-20　ﾆﾁﾚｲ東銀座ﾋﾞﾙ5階","","1040045","03-3543-3686","03-3543-0794","13","12000","78","","","","","","","","","1951-01-01 00:00:00","939","598","","1","0","0","","0","00","000000","中島水産  株式会社","0","","中島水産Ｃ","ﾅｶｼﾞﾏｽｲｻﾝC","中島　明","ﾅｶｼﾞﾏ ｱｷﾗ","代表取締役社長","東京都","","","","","0000000","","00","","","","","","1997-07-31 00:00:00","2018-12-10 10:42:28","10843","13","000000","2017-11-04 00:00:00","","","","","","","","0","","3","0","","","","16","00","00",""," ","","りそな","みずほ","中央三井信託","","","社長　中島　明","福社　富澤　司郎","専務　川端　寛","常務　中島　彦九郎","","","","","","","","","","","","","","","","","    ","        ","   ","                ","       "
"7","U","0281","4008","020526","中島水産  株式会社  営業１課","中島水産  株式会社  営業１課","ﾅｶｼﾞﾏｽｲｻﾝ KK ｴｲ1ｶ","ﾅｶｼﾞﾏｽｲｻﾝ KK ｴｲ1ｶ","東京都","中央区","","築地４－６－５","","1040045","035456281","13","1800","78","07","00","92","20018","2000","0","0","00","4","3","1","中島水産  株式会社  営業１課","ﾅｶｼﾞﾏｽｲｻﾝｴｲ1ｶ","2005-10-08 00:00:00","2020-05-01 00:00:00","2003-02-18 18:22:34","2020-03-23 09:21:06","11111","020526","  ","      ","16","00","0","","","","","0","1","     ","","","00","00","     ","     ","     ","     ","     ","","","中島水産㈱　Ｃ","中島水産株式会社　Ｃ","ﾅｶｼﾞﾏｽｲｻﾝ(ｶ C","ﾅｶｼﾞﾏｽｲｻﾝ(ｶ C","東京都","中央区築地","","6-19-20　ﾆﾁﾚｲ東銀座ﾋﾞﾙ5階","","1040045","03-3543-3686","03-3543-0794","13","12000","78","","","","","","","","","1951-01-01 00:00:00","939","598","","1","0","0","","0","00","000000","中島水産  株式会社","0","","中島水産Ｃ","ﾅｶｼﾞﾏｽｲｻﾝC","中島　明","ﾅｶｼﾞﾏ ｱｷﾗ","代表取締役社長","東京都","","","","","0000000","","00","","","","","","1997-07-31 00:00:00","2018-12-10 10:42:28","10843","13","000000","2017-11-04 00:00:00","","","","","","","","0","","3","0","","","","16","00","00",""," ","","りそな","みずほ","中央三井信託","","","社長　中島　明","福社　富澤　司郎","専務　川端　寛","常務　中島　彦九郎","","","","","","","","","","","","","","","","","    ","        ","   ","                ","       "
"8","U","0281","4009","020526","中島水産  株式会社  営業２課","中島水産  株式会社  営業２課","ﾅｶｼﾞﾏｽｲｻﾝ KK ｴｲ2ｶ","ﾅｶｼﾞﾏｽｲｻﾝ KK ｴｲ2ｶ","東京都","中央区","","築地４－６－５","","1040045","035456281","13","0","78","08","00","92","20018","2000","0","0","00","4","3","1","中島水産  株式会社  営業２課","ﾅｶｼﾞﾏｽｲｻﾝｴｲ2ｶ","2005-10-08 00:00:00","2016-08-02 00:00:00","2003-02-18 18:23:03","2018-11-21 10:25:12","60559","020526","  ","      ","16","00","0","","","","","0","1","     ","","","00","00","     ","     ","     ","     ","     ","","","中島水産㈱　Ｃ","中島水産株式会社　Ｃ","ﾅｶｼﾞﾏｽｲｻﾝ(ｶ C","ﾅｶｼﾞﾏｽｲｻﾝ(ｶ C","東京都","中央区築地","","6-19-20　ﾆﾁﾚｲ東銀座ﾋﾞﾙ5階","","1040045","03-3543-3686","03-3543-0794","13","12000","78","","","","","","","","","1951-01-01 00:00:00","939","598","","1","0","0","","0","00","000000","中島水産  株式会社","0","","中島水産Ｃ","ﾅｶｼﾞﾏｽｲｻﾝC","中島　明","ﾅｶｼﾞﾏ ｱｷﾗ","代表取締役社長","東京都","","","","","0000000","","00","","","","","","1997-07-31 00:00:00","2018-12-10 10:42:28","10843","13","000000","2017-11-04 00:00:00","","","","","","","","0","","3","0","","","","16","00","00",""," ","","りそな","みずほ","中央三井信託","","","社長　中島　明","福社　富澤　司郎","専務　川端　寛","常務　中島　彦九郎","","","","","","","","","","","","","","","","","    ","        ","   ","                ","       "
"9","U","0281","4010","020526","中島水産  株式会社  営業３課","中島水産  株式会社  営業３課","ﾅｶｼﾞﾏｽｲｻﾝ KK ｴｲ3ｶ","ﾅｶｼﾞﾏｽｲｻﾝ KK ｴｲ3ｶ","東京都","中央区","","築地４－６－５","","1040045","035456281","13","0","00","03","00","92","20018","2000","0","0","00","4","3","1","中島水産  株式会社  営業３課","ﾅｶｼﾞﾏｽｲｻﾝｴｲ3ｶ","","","2003-02-18 18:23:28","2004-10-07 00:00:00","10000","020526","  ","      ","00","00","0","","","","","0","1","     ","","","00","00","     ","     ","     ","     ","     ","","","中島水産㈱　Ｃ","中島水産株式会社　Ｃ","ﾅｶｼﾞﾏｽｲｻﾝ(ｶ C","ﾅｶｼﾞﾏｽｲｻﾝ(ｶ C","東京都","中央区築地","","6-19-20　ﾆﾁﾚｲ東銀座ﾋﾞﾙ5階","","1040045","03-3543-3686","03-3543-0794","13","12000","78","","","","","","","","","1951-01-01 00:00:00","939","598","","1","0","0","","0","00","000000","","0","","中島水産  株式会社  営業３課","ﾅｶｼﾞﾏｽｲｻﾝｴｲ3ｶ","中島　明","ﾅｶｼﾞﾏ ｱｷﾗ","代表取締役社長","東京都","","","","","0000000","","00","","","","","","2003-02-18 00:00:00","2018-12-10 10:42:28","10843","13","000000","2017-11-04 00:00:00","","","","","","","","0","","3","0","","","","16","00","00",""," ","","りそな","みずほ","中央三井信託","","","社長　中島　明","福社　富澤　司郎","専務　川端　寛","常務　中島　彦九郎","","","","","","","","","","","","","","","","","    ","        ","   ","                ","       "
