"","GZA_HINCD","HIZ_HINNM","HIZ_SIZEN","HIZ_YORYO","HIZ_JURKB","HIZ_IRISU","GZA_HTANK","GZA_ZAIKB","GZA_ZSHNO","GZA_NYKNO","GZA_NSKKB","GZA_NKYMD","GZA_UPYMD","GZA_MOTOK","GZA_MKING","GZA_GENZA","GZA_JUCHU","KAD_COPRM","KAD_FCTRM","GZA_GENCD","GZA_KAKCD","GZA_IKUCD","GZA_TAICD","GZA_KURCD","TGEN_GENNM","TKAK_GENNM","TIKU_IKUNM","TTAI_TAINM"
"0","015004122","Vﾑﾄｳｴﾋﾞｲﾝﾄﾞﾖｳｼﾖｸ","13-15","4","P","6","3400","0","0210213180183001","","00","2020-02-10","2020-02-10","0","0","0","0","大京１","","     ","     "," ","01","020732","","","","加工食品"
"1","015004122","Vﾑﾄｳｴﾋﾞｲﾝﾄﾞﾖｳｼﾖｸ","13-15","4","P","6","3400","0","0281042010728001","","00","2020-05-02","2020-05-02","4","13600","4","0","大京１","","     ","     "," ","02","020732","","","","生鮮"
"2","015004128","Vﾑﾄｳｴﾋﾞｲﾝﾄﾞﾖｳｼﾖｸ","31-40","4","P","6","0","0","0281042007307001","","00","2020-05-02","2020-05-02","12","17400","0","0","大京１","","     ","     "," ","02","020732","","","","生鮮"
"3","015004128","Vﾑﾄｳｴﾋﾞｲﾝﾄﾞﾖｳｼﾖｸ","31-40","4","P","6","0","0","0281122005790002","056793-01-00","00","2020-04-11","2020-04-23","120","0","0","0","東市ﾛｼﾞｽﾃｨｸｽ","","     ","     "," ","02","025375","","","","生鮮"
"4","015072222","Vﾑﾄｳｴﾋﾞｲﾝﾄﾞﾖｳｼﾖｸ","13-15","1800","G","6","2798","0","0210213093755007","","00","2020-02-18","2020-03-24","23","64400","9","0","大京１","","     ","     "," ","02","020732","","","","生鮮"
"5","015072224","Vﾑﾄｳｴﾋﾞｲﾝﾄﾞﾖｳｼﾖｸ","16-20","1800","G","6","2049","0","0210213093126008","","00","2020-05-02","2020-05-02","16","32800","10","0","大京１","","     ","     "," ","02","020732","","","","生鮮"
"6","015072225","Vﾑﾄｳｴﾋﾞｲﾝﾄﾞﾖｳｼﾖｸ","21-25","1800","G","6","1779","0","0210213093093006","","00","2020-05-02","2020-05-02","25","44530","13","0","大京１","","     ","     "," ","02","020732","","","","生鮮"
"7","015072226","Vﾑﾄｳｴﾋﾞｲﾝﾄﾞﾖｳｼﾖｸ","26-30","1800","G","6","1641","0","0210213093329001","","00","2020-04-30","2020-04-30","15","25440","15","0","大京１","","     ","     "," ","02","020732","","","","生鮮"
"8","015072228","Vﾑﾄｳｴﾋﾞｲﾝﾄﾞﾖｳｼﾖｸ","31-40","1800","G","6","1418","0","0210213092793002","","00","2020-05-02","2020-05-02","710","1029462","68","0","大京１","","     ","     "," ","02","020732","","","","生鮮"
"9","015102030","Vﾕｳﾄｳｴﾋﾞﾖｳｼﾖｸ","40-50","2000","G","6","0","0","0281042009730001","","00","2020-05-04","2020-05-02","12","26040","12","0","大京１","","20079","     "," ","02","020732","ｻｳｼﾞｱﾗﾋﾞｱ","","","生鮮"
"10","015110131","Vﾕｳﾄｳｴﾋﾞﾏﾚｰｼｱﾖｳｼﾖｸ","51-60","1000","G","12","0","0","0281042009243001","","00","2020-04-25","2020-04-25","120","129600","0","0","大京１","","     ","     "," ","02","020732","","","","生鮮"
"11","015110240","Vﾕｳﾄｳｴﾋﾞﾐﾔﾝﾏｰﾖｳｼﾖｸ","40","1000","G","10","1070","0","0281122005762001","CS02400-03","00","2020-03-31","2020-04-09","45","0","40","0","マルハニチロ物流","大井第２物流センター","     ","     "," ","02","020166","","","","生鮮"
"12","015110240","Vﾕｳﾄｳｴﾋﾞﾐﾔﾝﾏｰﾖｳｼﾖｸ","40","1000","G","10","1070","0","0281122005762002","CS02401-03","00","2020-03-31","2020-04-09","89","0","80","0","マルハニチロ物流","大井第２物流センター","     ","     "," ","02","020166","","","","生鮮"
"13","015110240","Vﾕｳﾄｳｴﾋﾞﾐﾔﾝﾏｰﾖｳｼﾖｸ","40","1000","G","10","1070","0","0281122005762003","CS02402-03","00","2020-03-31","2020-04-09","69","0","60","0","マルハニチロ物流","大井第２物流センター","     ","     "," ","02","020166","","","","生鮮"
"14","015110240","Vﾕｳﾄｳｴﾋﾞﾐﾔﾝﾏｰﾖｳｼﾖｸ","40","1000","G","10","1070","0","0281122005762004","CS02403-03","00","2020-03-31","2020-04-09","89","0","80","0","マルハニチロ物流","大井第２物流センター","     ","     "," ","02","020166","","","","生鮮"
"15","015110240","Vﾕｳﾄｳｴﾋﾞﾐﾔﾝﾏｰﾖｳｼﾖｸ","40","1000","G","10","1070","0","0281122005762005","CS02404-03","00","2020-03-31","2020-04-09","28","0","0","0","マルハニチロ物流","大井第２物流センター","     ","     "," ","02","020166","","","","生鮮"
"16","015110240","Vﾕｳﾄｳｴﾋﾞﾐﾔﾝﾏｰﾖｳｼﾖｸ","40","1000","G","10","1070","0","0281122005762006","CS024M2-03","00","2020-03-31","2020-04-07","10","0","0","0","マルハニチロ物流","大井第２物流センター","     ","     "," ","02","020166","","","","生鮮"
"17","015110240","Vﾕｳﾄｳｴﾋﾞﾐﾔﾝﾏｰﾖｳｼﾖｸ","40","1000","G","10","1070","0","0281042013076001","","00","2020-04-10","2020-04-10","40","42800","0","0","大京１","","     ","     "," ","02","020732","","","","生鮮"
"18","015110250","Vﾕｳﾄｳｴﾋﾞﾐﾔﾝﾏｰﾖｳｼﾖｸ","50","1000","G","10","950","0","0281122005763001","CS02405-03","00","2020-03-31","2020-04-24","60","0","0","0","マルハニチロ物流","大井第２物流センター","     ","     "," ","02","020166","","","","生鮮"
"19","015110250","Vﾕｳﾄｳｴﾋﾞﾐﾔﾝﾏｰﾖｳｼﾖｸ","50","1000","G","10","950","0","0281122005763002","CS02406-03","00","2020-03-31","2020-03-31","280","0","280","0","マルハニチロ物流","大井第２物流センター","     ","     "," ","02","020166","","","","生鮮"
"20","015110250","Vﾕｳﾄｳｴﾋﾞﾐﾔﾝﾏｰﾖｳｼﾖｸ","50","1000","G","10","950","0","0281122005763003","CS02407-03","00","2020-03-31","2020-05-01","120","0","80","0","マルハニチロ物流","大井第２物流センター","     ","     "," ","02","020166","","","","生鮮"
"21","015110250","Vﾕｳﾄｳｴﾋﾞﾐﾔﾝﾏｰﾖｳｼﾖｸ","50","1000","G","10","950","0","0281122005763004","CS02408-03","00","2020-03-31","2020-04-20","100","0","0","0","マルハニチロ物流","大井第２物流センター","     ","     "," ","02","020166","","","","生鮮"
"22","015110250","Vﾕｳﾄｳｴﾋﾞﾐﾔﾝﾏｰﾖｳｼﾖｸ","50","1000","G","10","950","0","0281122005763005","CS02409-03","00","2020-03-31","2020-03-31","180","0","180","0","マルハニチロ物流","大井第２物流センター","     ","     "," ","02","020166","","","","生鮮"
"23","015110250","Vﾕｳﾄｳｴﾋﾞﾐﾔﾝﾏｰﾖｳｼﾖｸ","50","1000","G","10","950","0","0281122005763006","CS024M4-03","00","2020-03-31","2020-04-07","10","0","0","0","マルハニチロ物流","大井第２物流センター","     ","     "," ","02","020166","","","","生鮮"
"24","015110250","Vﾕｳﾄｳｴﾋﾞﾐﾔﾝﾏｰﾖｳｼﾖｸ","50","1000","G","10","950","0","0281122005763007","CS024M5-03","00","2020-03-31","2020-04-07","10","0","0","0","マルハニチロ物流","大井第２物流センター","     ","     "," ","02","020166","","","","生鮮"
